codigo_estacion,codigo_parada,nombre_parada,linea,direccion_parada,cp_parada,distrito_parada
3999,5222,MENDEZ ALVARO-MURCIA,N11,Calle de Méndez Álvaro 14,28045,2
3999,5222,MENDEZ ALVARO-MURCIA,N13,Calle de Méndez Álvaro 14,28045,2
6012,5209,RAFAELA APARICIO-AURORA REDONDO,N2,Calle de Rafaela Aparicio 3,28055,16
3998,5221,MENDEZ ALVARO-ANCORA,N11,Calle de Méndez Álvaro 22,28045,2
3998,5221,MENDEZ ALVARO-ANCORA,N13,Calle de Méndez Álvaro 22,28045,2
6030,5658,"AV.MANOTERAS, 20",150,Avda de Manoteras 20,28050,16
6031,5659,"FUENTE DE LA MORA, FRENTE Nº1",150,Avda de Manoteras 40,28050,16
6032,3648,FUENTE DE LA MORA-AV.FTE.DE LA MORA,150,Cmno de la Fuente de la Mora 6,28050,16
6033,5660,FUENTE DE LA MORA-AV.ING.EMILIO HERRERA,150,Cmno de la Fuente de la Mora 9,28050,16
6034,5617,CANILLEJAS,165,Calle de Josefa Valcárcel 152,28022,20
6034,5617,CANILLEJAS,200,Calle de Josefa Valcárcel 152,28022,20
6034,5617,CANILLEJAS,N4,Calle de Josefa Valcárcel 152,28022,20
6035,5646,OSA MAYOR-BELLATRIX,160,Avda de la Osa Mayor 5,28023,9
6036,5645,CTRA.HUMERA A ARAVACA-OSA MAYOR,160,Ctra de Húmera 1,28023,9
6036,5645,CTRA.HUMERA A ARAVACA-OSA MAYOR,161,Ctra de Húmera 1,28023,9
6036,5645,CTRA.HUMERA A ARAVACA-OSA MAYOR,N28,Ctra de Húmera 1,28023,9
698,444,SERRANO-INST.RAMIRO MAEZTU,16,Calle de Serrano 127,28006,5
698,444,SERRANO-INST.RAMIRO MAEZTU,19,Calle de Serrano 127,28006,5
698,444,SERRANO-INST.RAMIRO MAEZTU,51,Calle de Serrano 127,28006,5
698,444,SERRANO-INST.RAMIRO MAEZTU,N1,Calle de Serrano 127,28006,5
699,445,SERRANO Nº 111,16,Calle de Serrano 113,28006,5
699,445,SERRANO Nº 111,19,Calle de Serrano 113,28006,5
699,445,SERRANO Nº 111,51,Calle de Serrano 113,28006,5
2017,2698,JOAQUIN COSTA-VELAZQUEZ,C1,Calle de Joaquín Costa 28,28002,5
2017,2698,JOAQUIN COSTA-VELAZQUEZ,NC1,Calle de Joaquín Costa 28,28002,5
301,433,CINCA-PZA.DE CATALUÑA,7,Calle del Cinca 25,28002,5
301,433,CINCA-PZA.DE CATALUÑA,51,Calle del Cinca 25,28002,5
682,414,PRINCIPE DE VERGARA-PZA.CATALUÑA,16,Calle del Príncipe de Vergara 204,28002,5
682,414,PRINCIPE DE VERGARA-PZA.CATALUÑA,29,Calle del Príncipe de Vergara 204,28002,5
682,414,PRINCIPE DE VERGARA-PZA.CATALUÑA,52,Calle del Príncipe de Vergara 204,28002,5
682,414,PRINCIPE DE VERGARA-PZA.CATALUÑA,N1,Calle del Príncipe de Vergara 204,28002,5
694,415,PRINCIPE DE VERGARA-PZA.CATALUÑA,16,Calle del Príncipe de Vergara 203,28002,5
694,415,PRINCIPE DE VERGARA-PZA.CATALUÑA,29,Calle del Príncipe de Vergara 203,28002,5
694,415,PRINCIPE DE VERGARA-PZA.CATALUÑA,52,Calle del Príncipe de Vergara 203,28002,5
462,1401,AV.CDAD.BARCELONA-ESTACIÓN ATOCHA,10,Avda de la Ciudad de Barcelona 2,28007,2
462,1401,AV.CDAD.BARCELONA-ESTACIÓN ATOCHA,14,Avda de la Ciudad de Barcelona 2,28007,2
462,1401,AV.CDAD.BARCELONA-ESTACIÓN ATOCHA,26,Avda de la Ciudad de Barcelona 2,28007,2
462,1401,AV.CDAD.BARCELONA-ESTACIÓN ATOCHA,32,Avda de la Ciudad de Barcelona 2,28007,2
462,1401,AV.CDAD.BARCELONA-ESTACIÓN ATOCHA,37,Avda de la Ciudad de Barcelona 2,28007,2
